ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACION,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,VAlle del CAucA,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,CALI,ColombiA,ColombiA,FEMENINO,2,2496346,444,1,0.000177859960117708
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Huila,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,GUADALUPE,Colombia,Colombia,FEMENINO,1,6330,4,1,0.000631911532385466
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,ARGELIA,Colombia,Colombia,FEMENINO,1,8036,8,1,0.000995520159283225
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,NO,NO,MARIQUITA,Colombia,Colombia,FEMENINO,1,33348,4,1,0.000119947223221782
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,NO,SI,BUCARAMANGA,Colombia,Colombia,FEMENINO,1,528572,70,1,0.00013243228926239
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,MEDELLIN,Colombia,Colombia,FEMENINO,1,2569007,215,1,0.0000836899237721034
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,AtlAntico,INACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,1,0.0000499308101630598
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
