;ANIO_DENUNCIA;ANIO_HECHO;CAPTURA;CONDENA;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;MUNICIPIO;PAIS;PAIS_NACIMIENTO;SEXO_VICTIMA;TOTAL_VICTIMAS;TOTAL_POBLACION;TOTAL_FEMINICIDIOS;PORCENTAJE_TOTAL;PORCENTAJE_FEMINICIDIOS
38;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;VAlle del CAucA;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;CALI;ColombiA;ColombiA;FEMENINO;2;2496346;444;1;0,00017786
216;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Huila;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;GUADALUPE;Colombia;Colombia;FEMENINO;1;6330;4;1;0,000631912
205;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;ARGELIA;Colombia;Colombia;FEMENINO;1;8036;8;1;0,00099552
426;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;NO;NO;MARIQUITA;Colombia;Colombia;FEMENINO;1;33348;4;1;0,000119947
282;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Santander;ACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;BUCARAMANGA;Colombia;Colombia;FEMENINO;1;528572;70;1;0,000132432
171;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;MEDELLIN;Colombia;Colombia;FEMENINO;1;2569007;215;1;8,36899E-05
75;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;AtlAntico;INACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;SI;NO;SOLEDAD;Colombia;Colombia;FEMENINO;1;700970;35;1;4,99308E-05
29;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
348;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
24;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
36;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACION;SIN DATO;SI;SI;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1;524031;75;1;0,000143121
11;2014;2014;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
35;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1;524031;75;1;0,000143121
266;2017;2017;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCION DE PENAS;ADOLESCENTE 14 - 17;SI;SI;SI;PALMIRA;Colombia;Colombia;FEMENINO;1;314418;46;1;0,000146302
154;2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCION DE PENAS;INFANCIA 6 - 11;SI;SI;SI;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
178;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;2;8380801;884;1;0,000105479
15;2014;2014;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;CARTAGENA;Colombia;Colombia;FEMENINO;1;1057767;104;1;9,83203E-05
324;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;TARAZA;Colombia;Colombia;FEMENINO;1;48926;5;1;0,000102195
49;2015;2015;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;2;538527;53;1;9,84166E-05
70;2016;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BELLO;Colombia;Colombia;FEMENINO;1;500098;28;1;5,5989E-05
373;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
529;2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;MEDELLIN;Colombia;Colombia;FEMENINO;1;2569007;215;1;8,36899E-05
100;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;FUNDACION;Colombia;Colombia;FEMENINO;1;57677;24;1;0,00041611
367;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;ALMAGUER;Colombia;Colombia;MASCULINO;1;21391;2;1;9,34973E-05
84;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
489;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;COrdoba;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;SI;SI;PUERTO ESCONDIDO;Colombia;Colombia;FEMENINO;1;33670;2;1;5,94001E-05
247;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;CALI;Colombia;Colombia;FEMENINO;6;2496346;444;1;0,00017786
267;2017;2017;SI;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR AGRESION SEXUAL, FISICA O PSICOLOGICA. ART. 104B L.F;NariNo;ACTIVO;JUICIO;SIN DATO;SI;NO;SI;LA UNION;Colombia;Colombia;FEMENINO;1;19588;9;1;0,000459465
251;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;SIN DATO;SI;NO;NO;CALI;Colombia;Colombia;FEMENINO;5;2496346;444;1;0,00017786
435;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;BUENAVENTURA;Colombia;Colombia;FEMENINO;2;440995;33;1;7,48308E-05
40;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
92;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Caldas;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;PACORA;Colombia;Colombia;FEMENINO;1;10608;10;1;0,000942685
245;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;2;2496346;444;1;0,00017786
525;2019;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;INACTIVO;INDAGACION;SIN DATO;NO;NO;NO;FUSAGASUGA;Colombia;Colombia;FEMENINO;1;147631;3;1;2,03209E-05
228;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;INDAGACION;SIN DATO;SI;SI;NO;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1;538527;53;1;9,84166E-05
191;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;ACTIVO;INDAGACION;ADULTO MAYOR DE 60;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;1;1057767;104;1;9,83203E-05
176;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;AtlAntico;INACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;SI;NO;JUAN DE ACOSTA;Colombia;Colombia;FEMENINO;1;17925;1;1;5,5788E-05
34;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;COrdoba;ACTIVO;INVESTIGACION;SIN DATO;SI;NO;SI;MONTERIA;Colombia;Colombia;FEMENINO;1;471867;23;1;4,87425E-05
158;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;NO;SI;NO;BOGOTA, D.C.;Colombia;Colombia;MASCULINO;1;8380801;884;1;0,000105479
349;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;ARJONA;Colombia;Colombia;FEMENINO;1;79472;4;1;5,03322E-05
443;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACION;SIN DATO;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
502;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCION DE PENAS;PRE-ADOLESCENTE 12 - 13;SI;SI;SI;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
196;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Boyaca;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;SOGAMOSO;Colombia;Colombia;FEMENINO;1;110885;12;1;0,00010822
109;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;QuindIo;INACTIVO;INDAGACION;SIN DATO;SI;SI;NO;ARMENIA;Colombia;Colombia;MASCULINO;1;3765;30;1;0,007968127
141;2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;INACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;TOPAIPI;Colombia;Colombia;FEMENINO;2;4462;3;1;0,000672344
352;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;1;1057767;104;1;9,83203E-05
5;2012;2012;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;1;1057767;104;1;9,83203E-05
241;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
290;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCION DE PENAS;INFANCIA 6 - 11;SI;SI;SI;CALI;Colombia;Colombia;MASCULINO;1;2496346;444;1;0,00017786
283;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Santander;INACTIVO;EJECUCION DE PENAS;PRIMERA INFANCIA 0 - 5;SI;SI;SI;SUCRE;Colombia;Colombia;MASCULINO;1;8837;5;1;0,000565803
444;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;NO;NO;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
79;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;5;8380801;884;1;0,000105479
202;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Casanare;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;YOPAL;Colombia;Colombia;FEMENINO;1;155882;17;1;0,000109057
419;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Putumayo;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;PUERTO ASIS;Colombia;Colombia;FEMENINO;1;63953;16;1;0,000250184
302;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;BolIvar;INACTIVO;INDAGACION;SIN DATO;NO;SI;NO;CARTAGENA;Colombia;Colombia;MASCULINO;1;1057767;104;1;9,83203E-05
321;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;SAN LUIS;Colombia;Colombia;FEMENINO;1;10908;5;1;0,000458379
181;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;3;8380801;884;1;0,000105479
400;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;CIENAGA;Colombia;Colombia;FEMENINO;1;105807;14;1;0,000132316
277;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;COrdoba;INACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;CANALETE;Colombia;Colombia;FEMENINO;1;23992;3;1;0,000125042
103;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;PUERTO GAITAN;Colombia;Colombia;FEMENINO;1;19113;15;1;0,000784806
358;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;CaquetA;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;CURILLO;Colombia;Colombia;FEMENINO;1;11920;1;1;8,38926E-05
155;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;NO;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
427;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;IBAGUE;Colombia;Colombia;FEMENINO;1;579803;120;1;0,000206967
264;2017;2017;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ACTIVO;TERMINACION ANTICIPADA;JUVENTUD 18 - 28;SI;SI;SI;SAN LUIS;Colombia;Colombia;FEMENINO;1;10908;5;1;0,000458379
131;2016;2016;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;SI;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1;538527;53;1;9,84166E-05
456;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;VaupEs;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;MITU;Colombia;Colombia;FEMENINO;1;33079;2;1;6,04613E-05
223;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;RESTREPO;Colombia;Colombia;FEMENINO;1;10715;11;1;0,001026598
528;2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACION;ADOLESCENTE 14 - 17;SI;SI;NO;MEDELLIN;Colombia;;FEMENINO;1;2569007;215;1;8,36899E-05
455;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;SIN DATO;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;1;2496346;444;1;0,00017786
471;2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INVESTIGACION;JUVENTUD 18 - 28;SI;SI;SI;GRANADA;Colombia;Colombia;FEMENINO;1;9890;4;1;0,000404449
144;2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1;538527;53;1;9,84166E-05
466;2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;ArchipiElago de San AndrEs, Providencia y Santa Catalina;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;SAN ANDRES;Colombia;Colombia;FEMENINO;1;7986;6;1;0,000751315
514;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;INACTIVO;INDAGACION;ADULTEZ 29 - 59;NO;NO;NO;IBAGUE;Colombia;Colombia;FEMENINO;1;579803;120;1;0,000206967
483;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;SANTA BARBARA;Colombia;Colombia;FEMENINO;1;21238;2;1;9,41708E-05
114;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;BUENAVENTURA;Colombia;Colombia;FEMENINO;1;440995;33;1;7,48308E-05
145;2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ACTIVO;EJECUCION DE PENAS;ADOLESCENTE 14 - 17;SI;SI;SI;CUCUTA;Colombia;Colombia;FEMENINO;1;680765;30;1;4,40681E-05
102;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;2;524031;75;1;0,000143121
170;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;TURBO;Colombia;Colombia;FEMENINO;1;181377;9;1;4,96204E-05
279;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Huila;INACTIVO;EJECUCION DE PENAS;ADOLESCENTE 14 - 17;SI;SI;SI;LA PLATA;Colombia;Colombia;FEMENINO;1;68372;1;1;1,46259E-05
197;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Boyaca;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;NO;SI;SOGAMOSO;Colombia;Colombia;FEMENINO;1;110885;12;1;0,00010822
89;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;MASCULINO;2;8380801;884;1;0,000105479
31;2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;MASCULINO;2;8380801;884;1;0,000105479
329;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;3;8380801;884;1;0,000105479
3;2012;2012;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;SIN DATO;SI;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
54;2015;2015;SI;SI;FEMINICIDIO ART. 104A C.P.;Cauca;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;NO;SI;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
201;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Casanare;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;YOPAL;Colombia;Colombia;MASCULINO;1;155882;17;1;0,000109057
380;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;VALLEDUPAR;Colombia;Colombia;FEMENINO;1;503444;41;1;8,1439E-05
551;2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;ADULTO MAYOR DE 60;SI;NO;SI;BOGOTA, D.C.;Colombia;;FEMENINO;1;8380801;884;1;0,000105479
179;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
162;2017;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;INACTIVO;INDAGACION;SIN DATO;NO;NO;NO;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
342;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;JUICIO;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;MASCULINO;1;8380801;884;1;0,000105479
157;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;NO;SI;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
411;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;NariNo;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;PASTO;Colombia;Colombia;FEMENINO;1;465148;30;1;6,44956E-05
203;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Casanare;ACTIVO;INDAGACION;SIN DATO;SI;NO;NO;YOPAL;Colombia;Colombia;FEMENINO;1;155882;17;1;0,000109057
17;2014;2014;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;SANTANDER DE QUILICHAO;Colombia;Colombia;FEMENINO;1;100681;24;1;0,000238377
379;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;INACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;SI;NO;AGUSTIN CODAZZI;Colombia;Colombia;FEMENINO;1;48805;7;1;0,000143428
209;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;VALLEDUPAR;Colombia;Colombia;FEMENINO;1;503444;41;1;8,1439E-05
118;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;2;2496346;444;1;0,00017786
307;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;INACTIVO;INDAGACION;ADULTEZ 29 - 59;NO;SI;NO;FLORIAN;Colombia;Colombia;FEMENINO;1;6259;1;1;0,00015977
56;2015;2015;SI;SI;FEMINICIDIO ART. 104A C.P.;La Guajira;INACTIVO;EJECUCION DE PENAS;ADOLESCENTE 14 - 17;SI;NO;SI;URUMITA;Colombia;Colombia;FEMENINO;1;20035;1;1;4,99127E-05
236;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;SI;NO;GUACA;Colombia;Colombia;FEMENINO;1;6174;1;1;0,00016197
149;2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ACTIVO;EJECUCION DE PENAS;SIN DATO;SI;SI;SI;CUCUTA;Colombia;Colombia;FEMENINO;1;680765;30;1;4,40681E-05
275;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Casanare;INACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;AGUAZUL;Colombia;Colombia;FEMENINO;1;44381;6;1;0,000135193
486;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;AtlAntico;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;NO;SI;SOLEDAD;Colombia;Colombia;FEMENINO;1;700970;35;1;4,99308E-05
545;2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;5;8380801;884;1;0,000105479
204;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
453;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;CALI;Colombia;Colombia;MASCULINO;1;2496346;444;1;0,00017786
126;2016;2016;NO;SI;FEMINICIDIO ART. 104A C.P.;Cauca;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
516;2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACION;ADULTEZ 29 - 59;NO;NO;NO;CALI;Colombia;Colombia;MASCULINO;2;2496346;444;1;0,00017786
492;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;INACTIVO;EJECUCION DE PENAS;SIN DATO;SI;NO;SI;LA MESA;Colombia;Colombia;FEMENINO;1;33718;4;1;0,000118631
187;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Bogota;INACTIVO;INDAGACION;SIN DATO;SI;NO;NO;BOGOTA, D.C.;Colombia;Colombia;FEMENINO;1;8380801;884;1;0,000105479
128;2016;2016;NO;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;INACTIVO;EJECUCION DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;SUESCA;Colombia;Colombia;FEMENINO;1;19113;3;1;0,000156961
288;2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCION DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;CALI;Colombia;Colombia;FEMENINO;2;2496346;444;1;0,00017786
199;2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Casanare;ACTIVO;INDAGACION;ADULTEZ 29 - 59;SI;NO;NO;AGUAZUL;Colombia;Colombia;FEMENINO;1;44381;6;1;0,000135193
490;2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ACTIVO;INVESTIGACION;SIN DATO;SI;SI;SI;SOACHA;Colombia;Colombia;FEMENINO;1;567546;38;1;6,69549E-05
94;2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;JUVENTUD 18 - 28;SI;NO;NO;POPAYAN;Colombia;Colombia;FEMENINO;1;288636;41;1;0,000142047
